Gene,Database,Count,Frequency
aac(6')-Ip,NCBI,1,1 (100.0%)
blaTEM-12,NCBI,1,1 (100.0%)
blaOXA-66,NCBI,1,1 (100.0%)
mph(E),NCBI,1,1 (100.0%)
msr(E),NCBI,1,1 (100.0%)
armA,NCBI,1,1 (100.0%)
aadA1,NCBI,1,1 (100.0%)
catB8,NCBI,1,1 (100.0%)
aac(6')-Ib',NCBI,1,1 (100.0%)
aph(3')-Ia,NCBI,1,1 (100.0%)
blaADC-31,NCBI,1,1 (100.0%)
