Gene1,Gene2,Count
adeT2-BAC0479,barA,1
adeT2-BAC0479,corA-BAC0641,1
adeT2-BAC0479,arsB-BAC0573,1
adeT2-BAC0479,pstB-BAC0316,1
adeT2-BAC0479,(Bla)BlaA2,1
adeT2-BAC0479,ompA,1
adeT2-BAC0479,vcaM-BAC0417,1
adeT2-BAC0479,basF,1
adeT2-BAC0479,plc2,1
adeT2-BAC0479,zraR/hydH-BAC0467,1
adeT2-BAC0479,OXA,1
adeT2-BAC0479,tssL,1
adeT2-BAC0479,G2alt-BAC0490,1
adeT2-BAC0479,(AGly)aac6-Iaf,1
adeT2-BAC0479,ACICU_RS00485,1
adeT2-BAC0479,MEXT,1
adeT2-BAC0479,gspM,1
adeT2-BAC0479,ACICU_RS00500,1
adeT2-BAC0479,pilI,1
adeT2-BAC0479,basH,1
adeT2-BAC0479,ACICU_RS04565,1
adeT2-BAC0479,galE-BAC0755,1
adeT2-BAC0479,(Sul)sul1,1
adeT2-BAC0479,abeS,1
adeT2-BAC0479,TEM,1
adeT2-BAC0479,blaOXA-66_1,1
adeT2-BAC0479,(Bla)BlaA1,1
adeT2-BAC0479,recG-BAC0356,1
adeT2-BAC0479,mexJ-BAC0241,1
adeT2-BAC0479,adeK,1
adeT2-BAC0479,gspG,1
adeT2-BAC0479,blaADC-31,1
adeT2-BAC0479,adeT1-BAC0478,1
adeT2-BAC0479,adeK-BAC0019,1
adeT2-BAC0479,mexT-BAC0244,1
adeT2-BAC0479,pgaC,1
adeT2-BAC0479,adeJ-BAC0018,1
adeT2-BAC0479,lpxA,1
adeT2-BAC0479,arsT-BAC0714,1
adeT2-BAC0479,lpxC,1
adeT2-BAC0479,ADEB,1
adeT2-BAC0479,qacEdelta1,1
adeT2-BAC0479,blt-BAC0050,1
adeT2-BAC0479,cpxR-BAC0533,1
adeT2-BAC0479,czcR-BAC0125,1
adeT2-BAC0479,ADEI,1
adeT2-BAC0479,ADEJ,1
adeT2-BAC0479,tviB,1
adeT2-BAC0479,csuA/B,1
adeT2-BAC0479,nikE-BAC0274,1
adeT2-BAC0479,adeN,1
adeT2-BAC0479,AAC(6')-Ib7,1
adeT2-BAC0479,copR-BAC0719,1
adeT2-BAC0479,APH(3')-Ia,1
adeT2-BAC0479,vceA-BAC0418,1
adeT2-BAC0479,msr(E),1
adeT2-BAC0479,(MLS)msr(E),1
adeT2-BAC0479,znuC/yebM-BAC0465,1
adeT2-BAC0479,bfmS,1
adeT2-BAC0479,ADEC,1
adeT2-BAC0479,corC-BAC0088,1
adeT2-BAC0479,blaADC-25_1,1
adeT2-BAC0479,(Bla)blaOXA-23,1
adeT2-BAC0479,abeS-BAC0002,1
adeT2-BAC0479,ostA/lptD-BAC0296,1
adeT2-BAC0479,fimT,1
adeT2-BAC0479,adeJ,1
adeT2-BAC0479,fptA-BAC0168,1
adeT2-BAC0479,pmrA-BAC0487,1
adeT2-BAC0479,AAC6-PRIME,1
adeT2-BAC0479,bfmR,1
adeT2-BAC0479,plcD,1
adeT2-BAC0479,ACICU_RS00470*,1
adeT2-BAC0479,pilM,1
adeT2-BAC0479,aph(3'')-Ib_2,1
adeT2-BAC0479,nreB-BAC0285,1
adeT2-BAC0479,aph(3'')-Ib,1
adeT2-BAC0479,bauA,1
adeT2-BAC0479,sodB-BAC0706,1
