Gene1,Gene2,Count
adeK-BAC0019,znuC/yebM-BAC0465,1
adeK-BAC0019,lpxM,1
adeK-BAC0019,parC_E88K,1
adeK-BAC0019,merD,1
adeK-BAC0019,aph(3'')-Ia,1
adeK-BAC0019,pbpG,1
adeK-BAC0019,ADEB,1
adeK-BAC0019,tssA,1
adeK-BAC0019,acn-BAC0003,1
adeK-BAC0019,gspO/pilD,1
adeK-BAC0019,cxpE,1
adeK-BAC0019,abeS,1
adeK-BAC0019,mexJ-BAC0241,1
adeK-BAC0019,qacEdelta1-BAC0323,1
adeK-BAC0019,blaOXA-66_1,1
adeK-BAC0019,actP/yjcG-BAC0564,1
adeK-BAC0019,APH6,1
adeK-BAC0019,OXA,1
adeK-BAC0019,bauF,1
adeK-BAC0019,adeB-BAC0472,1
adeK-BAC0019,aph(3')-Ia_7,1
adeK-BAC0019,amvA-BAC0025,1
adeK-BAC0019,pilC,1
adeK-BAC0019,pgaD,1
adeK-BAC0019,ADEF,1
adeK-BAC0019,AAC(6')-Ib7,1
adeK-BAC0019,ANT(3'')-IIa,1
adeK-BAC0019,adeJ-BAC0018,1
adeK-BAC0019,basI,1
adeK-BAC0019,ACICU_RS16840,1
adeK-BAC0019,lpxA,1
adeK-BAC0019,lpxD,1
adeK-BAC0019,amvA,1
adeK-BAC0019,adeK,1
adeK-BAC0019,ruvB-BAC0355,1
adeK-BAC0019,strB,1
adeK-BAC0019,pmrC-BAC0485,1
adeK-BAC0019,BLAA,1
adeK-BAC0019,msr(E)_1,1
adeK-BAC0019,lmrS-BAC0535,1
adeK-BAC0019,csuB,1
adeK-BAC0019,oxyRkp-BAC0536,1
adeK-BAC0019,dsbC-BAC0138,1
adeK-BAC0019,OXA-66,1
ADER,OXA-23,1
ADER,pitA-BAC0312,1
ADER,adeT2-BAC0479,1
ADER,ydeP-BAC0438,1
ADER,adeC-BAC0473,1
ADER,arsC-BAC0584,1
ADER,bfmR,1
ADER,merT-BAC0695,1
ADER,blaTEM-1D,1
ADER,tssL,1
ADER,pmrA-BAC0487,1
ADER,pilA,1
ADER,merT,1
ADER,ADES,1
ADER,APH(6)-Id,1
ADER,adeI,1
ADER,pilT,1
ADER,arsT-BAC0714,1
ADER,adeG-BAC0015,1
ADER,pseI,1
ADER,csuA,1
ADER,ABES,1
ADER,Acinetobacter_baumannii_AbaF,1
ADER,modA-BAC0609,1
ADER,blaOXA-23_1,1
ADER,aadA,1
ADER,pgaB,1
ADER,basG,1
ADER,corA-BAC0641,1
ADER,blaOXA-23,1
ADER,aac(6')-Iaf_1,1
ADER,entE,1
ADER,pilO,1
ADER,adeF-BAC0014,1
ADER,merR,1
ADER,pilJ,1
ADER,ACICU_RS00475,1
ADER,pilE,1
ADER,adeF,1
ADER,ADEA,1
ADER,tetB,1
ADER,arsB-BAC0573,1
ADER,adeC,1
ADER,gspK,1
ADER,pilX,1
ADER,ADEL,1
ADER,merA-BAC0652,1
ADER,gyrA_S81L,1
ADER,basF,1
ADER,mphE,1
ADER,APH(3')-Ia,1
ADER,barA,1
ADER,catB8,1
ADER,gspC,1
ADER,armA_1,1
ADER,aadA1,1
ADER,pgaA,1
ADER,ACICU_RS00485,1
ADER,bfmS,1
ADER,adeL-BAC0508,1
ADER,aac(6')-Ip,1
ADER,mgtA-BAC0642,1
ADER,merC-BAC0664,1
ADER,tet(B),1
ADER,fabL/ygaA-BAC0158,1
ADER,blaOXA-66,1
ADER,AMVA,1
ADER,clpV/tssH,1
ADER,sul1,1
ADER,basH,1
ADER,ACICU_RS04565,1
ADER,fimV,1
ADER,fabI-BAC0156,1
ADER,csuC,1
ADER,pilY1,1
ADER,blaADC-25_1,1
ADER,adeS,1
ADER,pilN,1
ADER,lpsB,1
ADER,bauA,1
ADER,AAC6-PRIME,1
ADER,fimU,1
ADER,gspI,1
ADER,blaTEM-1D_1,1
ADER,SULI,1
ADER,gspN,1
ADER,pilP,1
ADER,pseF,1
ADER,TEM,1
ADER,adeA,1
ADER,hmrM-BAC0189,1
ADER,ADEI,1
ADER,fpvA-BAC0169,1
ADER,aph(3'')-Ib_2,1
ADER,nreB-BAC0285,1
ADER,MPHE,1
ADER,galU,1
ADER,soxR-BAC0370,1
ADER,aac(6')-Ib',1
ADER,adeH-BAC0016,1
ADER,basJ,1
ADER,ADC,1
ADER,nreB,1
ADER,sul1_5,1
ADER,pbrR-BAC0301,1
ADER,BlaA2,1
ADER,bauB,1
ADER,pilM,1
ADER,adeE-BAC0013,1
ADER,ADEC,1
ADER,csuA/B,1
ADER,ABAQ,1
ADER,MEXT,1
ADER,aph(6)-Id_1,1
ADER,msrE,1
ADER,vceB-BAC0419,1
ADER,vcaM-BAC0417,1
ADER,tssC,1
ADER,blaADC-31,1
ADER,gspG,1
ADER,bap,1
